invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,discounted_price
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16/05/2021,Metropol AVM,2700.765
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,23/08/2022,Cevahir AVM,1620.459
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,23/02/2022,Kanyon,1620.459
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,30/08/2022,Zorlu Center,2160.612
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,20/06/2022,Metrocity,2160.612
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,21/04/2022,Kanyon,1620.459
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,2/10/2021,Emaar Square Mall,2700.765
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,4/9/2021,Metrocity,2160.612
I257890,C259342,Female,59,Shoes,1,600.17,Cash,5/10/2021,Kanyon,540.153
I226172,C171154,Female,69,Shoes,1,600.17,Cash,24/07/2021,Kanyon,540.153
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,12/1/2023,Kanyon,1080.306
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,23/07/2021,Metrocity,1080.306
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,8/8/2021,Mall of Istanbul,2160.612
I983860,C169676,Female,60,Shoes,1,600.17,Credit Card,30/09/2021,Metropol AVM,540.153
I227707,C329163,Female,34,Shoes,4,2400.68,Cash,10/1/2022,Viaport Outlet,2160.612
I325491,C144628,Female,45,Shoes,2,1200.34,Cash,22/12/2021,Kanyon,1080.306
I144046,C210589,Female,42,Shoes,1,600.17,Credit Card,21/04/2022,Kanyon,540.153
I254142,C212400,Female,62,Shoes,3,1800.51,Credit Card,15/12/2022,Emaar Square Mall,1620.459
I219334,C144371,Female,45,Shoes,4,2400.68,Credit Card,23/03/2022,Kanyon,2160.612
I533184,C220859,Female,44,Shoes,5,3000.85,Credit Card,22/09/2022,Zorlu Center,2700.765
