Item Name,Category,Price,Quantity,Customer,Gender
item_1,groceries,484.94,1,John,m
item_2,home,388.69,1,John,m
item_3,electronics,470.05,19,Jane,M
item_4,groceries,447.94,2,Jane,m
item_5,groceries,300.96,12,Charlie,m
item_6,home,461.33,6,Charlie,f
item_7,electronics,48.8,4,Bob,m
item_8,electronics,102.01,11,Jane,F
item_9,groceries,27.39,17,John,female
item_10,clothing,166.04,6,Charlie,male
item_11,groceries,197.4,5,Charlie,F
item_12,groceries,139.32,2,John,m
item_13,groceries,415.23,6,Charlie,f
item_14,groceries,181.59,11,Bob,M
item_15,home,144.06,16,Jane,m
item_16,electronics,273.63,16,John,f
item_17,home,74.76,1,Jane,female
item_18,home,402.09,9,Charlie,m
item_19,home,41.9,6,Charlie,M
item_20,groceries,493.51,16,John,f
item_21,clothing,387.26,3,Bob,f
item_22,electronics,103.36,4,Alice,f
item_23,clothing,7.73,19,John,female
item_24,home,408.65,3,Alice,m
item_25,home,354.89,19,Alice,female
item_26,clothing,365.86,7,Bob,male
item_27,clothing,386.78,9,Alice,male
item_28,clothing,41.65,1,Alice,m
item_29,home,182.44,8,Bob,female
item_30,home,62.36,7,Alice,M
item_31,electronics,432.24,18,Alice,f
item_32,electronics,313.53,8,Alice,f
item_33,home,168.79,1,John,m
item_34,clothing,36.46,11,John,male
item_35,clothing,158.94,18,John,male
item_36,electronics,165.97,10,Bob,f
item_37,home,366.16,3,Charlie,m
item_38,electronics,320.59,7,Alice,female
item_39,electronics,444.17,16,Alice,male
item_40,groceries,238.75,16,Bob,female
item_41,groceries,64.2,17,Alice,male
item_42,groceries,358.06,2,John,male
item_43,clothing,381.59,1,Charlie,F
item_44,home,282.83,16,Jane,male
item_45,home,386.63,12,Alice,M
item_46,home,249.43,5,John,m
item_47,home,263.75,5,Jane,m
item_48,groceries,216.63,9,Charlie,female
item_49,clothing,17.58,9,Jane,male
item_50,clothing,58.41,3,John,M
item_51,groceries,20.56,19,Jane,female
item_52,clothing,320.02,16,Bob,F
item_53,groceries,160.61,16,Jane,female
item_54,home,256.74,3,Alice,female
item_55,groceries,454.25,1,Alice,male
item_56,home,128.4,11,Bob,F
item_57,home,208.14,17,John,female
item_58,electronics,379.0,8,Alice,M
item_59,groceries,118.26,4,Charlie,M
item_60,electronics,43.11,6,Alice,m
item_61,groceries,148.43,8,Alice,F
item_62,groceries,84.8,3,John,F
item_63,electronics,465.2,16,Jane,m
item_64,electronics,405.02,3,Alice,female
item_65,groceries,318.53,18,Bob,F
item_66,clothing,436.37,14,Jane,M
item_67,home,402.82,18,Charlie,M
item_68,electronics,97.35,2,John,male
item_69,home,446.82,3,Charlie,F
item_70,clothing,271.97,16,Jane,female
item_71,clothing,404.68,9,Jane,m
item_72,clothing,448.57,4,Jane,m
item_73,electronics,162.41,1,Charlie,female
item_74,clothing,59.48,4,Jane,f
item_75,electronics,117.83,1,Charlie,male
item_76,clothing,216.42,14,Jane,m
item_77,home,409.92,16,Bob,F
item_78,home,431.06,8,Jane,male
item_79,groceries,8.44,7,Charlie,F
item_80,home,257.82,3,Alice,M
item_81,groceries,211.62,17,Jane,male
item_82,home,114.94,1,Alice,m
item_83,electronics,64.33,16,Bob,male
item_84,home,172.12,12,John,male
item_85,groceries,471.74,19,Bob,male
item_86,groceries,164.99,14,Jane,f
item_87,clothing,261.8,6,Alice,male
item_88,electronics,352.99,6,Alice,F
item_89,home,185.0,13,Charlie,M
item_90,clothing,486.03,19,Alice,female
item_91,home,481.41,8,Charlie,male
item_92,home,129.63,2,John,m
item_93,clothing,251.14,1,Jane,male
item_94,clothing,153.93,15,Charlie,m
item_95,clothing,146.0,1,John,F
item_96,clothing,23.26,5,Alice,m
item_97,clothing,306.73,16,Alice,female
item_98,home,253.83,19,John,M
item_99,clothing,30.48,4,Alice,m
item_100,electronics,142.93,3,John,m
